rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,Arizona,0.536715,1.24325,0.101211,-0.272727
2,Tulsa,0.472799,0.868334,0.00456125,0.2
3,SMU,0.451518,0.736217,0.0553008,0.5
4,Nevada,0.429185,0.45837,0,1
5,App State,0.420657,0.885048,0.184,0.166667
6,Southern Miss,0.409431,0.518863,0,0.75
7,Arizona State,0.391369,0.949801,0.361772,0.125
8,Texas State,0.373941,0.607353,0.112451,0.52
9,Miami (OH),0.347224,0.798581,0.0402222,-0.2
10,Georgia State,0.335551,0.715333,0.191365,0.176471
11,Duke,0.322502,0.987952,0.349359,-0.333333
12,Middle Tennessee,0.312379,0.424758,0,0.5
13,Georgia Southern,0.301341,0.57646,0.152375,0.294118
14,Virginia,0.297237,0.762683,0.147016,-0.2
15,UConn,0.27501,0.422593,0.00984451,0.333333
16,James Madison,0.272019,0.277371,0,0.666667
17,Charlotte,0.269006,0.322628,0,0.538462
18,Temple,0.263405,0.630075,0.211324,0.0588235
19,Louisiana Tech,0.262834,0.655135,0.64715,0.647059
20,Jacksonville State,0.248363,0.0967263,0,1
21,Syracuse,0.243893,0.67444,0.199979,-0.166667
22,Rutgers,0.238731,0.762492,0.570289,0.142857
23,Utah State,0.226547,0.700433,0.216154,-0.294118
24,South Alabama,0.217326,0.0346515,0,1
25,Florida Atlantic,0.210878,0.294491,0.0101136,0.333333
26,Kennesaw State,0.193175,-0.01365,0,1
27,New Mexico,0.191322,0.264997,0,0.294118
28,Kansas,0.189882,0.538375,0.29944,0.0526316
29,Marshall,0.186003,0.535615,0.356013,0.125
30,Purdue,0.168669,0.343209,0.0415311,0.047619
31,Arkansas State,0.158217,0.0307194,0,0.714286
32,Boston College,0.157614,0.336678,0.035749,0
33,Hawai'i,0.152466,0.42398,0.674603,0.714286
34,North Texas,0.146872,0.474919,0.301957,0
35,Old Dominion,0.146802,0.369522,0.0154187,-0.166667
36,Massachusetts,0.134332,0.171927,0.0811969,0.363636
37,UAB,0.129534,0.125734,0,0.333333
38,Liberty,0.125674,0.171348,0,0.2
39,UTSA,0.119206,0.066984,0,0.428571
40,Fresno State,0.116752,0.473956,0.400751,0
41,Utah,0.116021,0.227048,0.086914,0.142857
42,Eastern Michigan,0.105014,0.076695,0,0.333333
43,UNLV,0.103913,0.469085,0.546544,0.166667
44,San José State,0.100002,0.217815,0.251906,0.333333
45,Houston,0.093949,-0.0263911,0.0288162,0.578947
46,Indiana,0.0908077,0.19555,0.0676688,0.0666667
47,California,0.0720168,0.25432,0.291337,0.16129
48,UTEP,0.0666667,0,0,0.333333
49,NC State,0.0658286,0.241275,0.0715852,-0.166667
50,Western Michigan,0.0644719,0.237965,0.0483683,-0.2
51,Louisiana,0.0540641,0.387106,0.0205182,-0.666667
52,Ball State,0.0503804,-0.0480889,0.0376315,0.428571
53,Northern Illinois,0.0502524,0.11398,0.0224592,0
54,Kansas State,0.0491985,0.411825,0.340563,-0.272727
55,LSU,0.0454401,0.353653,0.498561,0.0909091
56,Missouri,0.0430149,0.48315,0.471391,-0.285714
57,Maryland,0.0404643,0.14238,0.0418134,-0.0909091
58,Pittsburgh,0.0403795,0.196631,0.19312,0
59,New Mexico State,0.0402978,0.000595598,0,0.2
60,Iowa,0.0310063,0.359868,0.314608,-0.272727
61,Notre Dame,0.0283435,0.27174,0.263184,-0.142857
62,Coastal Carolina,0.0214963,0.34989,0.701972,0.285714
63,Northwestern,0.0209177,0.3863,0.351885,-0.333333
64,Oregon,0.00658483,0.335708,0.387026,-0.225806
65,Troy,-0.0013711,-0.0422944,0.378524,0.666667
66,Buffalo,-0.00740625,-0.0148125,0,0
67,Memphis,-0.00814234,0.0603472,0.238831,0.166667
68,Georgia Tech,-0.00890529,0.112756,0.297611,0.12
69,Louisville,-0.0237102,0.190117,0.435112,0.0588235
70,Kent State,-0.02421,0.261715,0.421653,-0.142857
71,Akron,-0.0268962,0.505963,1.15515,0.333333
72,Toledo,-0.0277544,0.223125,0.242167,-0.333333
73,South Florida,-0.0298588,0.0488078,0.180875,0
74,Western Kentucky,-0.0301067,-0.0992845,0.0301196,0.142857
75,Nebraska,-0.0353429,0.139607,0.217154,-0.2
76,Vanderbilt,-0.0362354,0.225968,0.230732,-0.4
77,Arkansas,-0.0393884,0.27415,0.566706,-0.0322581
78,TCU,-0.0432536,0.0277085,0.158614,-0.047619
79,Rice,-0.055757,-0.111514,0,0
80,Bowling Green,-0.0621001,0.0200428,0.107072,-0.2
81,Central Michigan,-0.0692989,0.0625462,0.00190682,-0.5
82,East Carolina,-0.0707934,0.200417,0.534918,-0.0526316
