school,pagerank,dev_score,dev_score_norm,portal_index
Kansas,0.8799023381557011,0.7008961413112179,0.8944366230069024,0.8900763375515419
USC,0.6983995157330548,0.6664848598571417,0.8418939677566125,0.7988456321495452
UCLA,0.21413998748744945,0.7700317999422535,1.0,0.7642419962462348
Memphis,0.7962302413952848,0.5974226203647433,0.7364426945947927,0.7543789586349403
Ole Miss,0.6510357058591957,0.6227382941413006,0.7750972480860837,0.7378787854180173
Indiana,0.595965270567586,0.6271672767588241,0.7818598706025579,0.7260914905920662
TCU,0.3951447852514358,0.6451613367788713,0.809335037240805,0.6850779616439941
Marshall,0.5756203957498084,0.5879598604338799,0.7219939873175834,0.6780819098472509
Nebraska,0.6771078942718319,0.5386384453088184,0.6466850188087816,0.6558118814476966
Oregon,0.38973356342844373,0.5807758941221451,0.7110247746263639,0.6146374112669878
Missouri,0.4762420864467059,0.5448522661738089,0.6561729144552129,0.6021936660526608
South Carolina,0.5177355211764533,0.5308365061067711,0.6347722220614714,0.599661211795966
Buffalo,0.24779938052279782,0.5997511826988761,0.7399981811323816,0.5923385409495064
UCF,0.1507795899834331,0.5929388968847364,0.7295964881446775,0.5559514186963042
Massachusetts,0.477623004570654,0.491500499132948,0.5747099934546445,0.5455838967894473
Western Kentucky,0.18555947291835487,0.5631011531439716,0.684037176878988,0.534493865690798
Louisville,0.578763249151037,0.44623131240067065,0.5055883806745631,0.5275408412175053
SMU,0.20633491278314633,0.5455245194412931,0.6571993793289911,0.5219400393652376
East Carolina,0.34061059556041573,0.5002966162251751,0.5881408024332309,0.5138817403713863
Auburn,0.5480491632658615,0.4407033207678687,0.49714767906987495,0.512418124328671
Liberty,0.1313939732952085,0.5552130729354351,0.6719928512546463,0.5098131878668148
Oklahoma,0.5997545034709408,0.4154626804421934,0.4586076943064936,0.5009517370558277
LSU,0.5025035366056337,0.41681982047320204,0.46067991416470544,0.4732270008969839
Fresno State,0.30145374929686974,0.4692667991349873,0.5407613119592961,0.4689690431605682
Georgia Tech,0.37934537977224975,0.44212778380040774,0.4993226945552867,0.4633295001203756
South Alabama,0.24285452367812538,0.4579758775591487,0.523521180968851,0.4393211837816333
South Florida,0.20668890724729191,0.4619184462822664,0.5295410971261673,0.43268544016250465
Florida Atlantic,0.16828902918796254,0.45769802789387876,0.5230969317529893,0.4166545609834813
Arkansas State,0.08269135196009138,0.45531002103030477,0.519450679243168,0.388422881058245
Akron,0.08819548926930484,0.4518283168471847,0.5141344580840893,0.38635276743965397
West Virginia,0.14898556639496807,0.426915967645918,0.47609574170254815,0.37796268911027414
Nevada,0.25781732767402293,0.3865254938942245,0.4144234456398938,0.3674416102501325
Florida International,0.3123064148551354,0.36464879520770177,0.3810198701690281,0.3604058335748603
Texas State,0.35339245893984916,0.34499637036524905,0.3510125429293472,0.35172651773249775
Hawai'i,0.15106413561691076,0.3772112916925785,0.40020157145988977,0.32546034070699603
Temple,0.17414035587221594,0.33025119335862757,0.3284981023352832,0.28219077839636303
Sam Houston,0.13912533422447604,0.3370474657571602,0.3388753444063094,0.2789503413517594
Middle Tennessee,0.060099177416109234,0.2576330687650458,0.21761734102056055,0.17036189193922516
