origin,destination,transfer_count,avg_success_delta
Georgia,Jacksonville State,3,-0.015399999999999992
Georgia,Mississippi State,3,-0.0373
Georgia,Nebraska,4,-0.07359999999999998
Georgia,Purdue,7,-0.07782857142857144
Georgia,SMU,3,-0.010000000000000002
Georgia,Syracuse,4,-0.26492499999999997
Georgia,Texas A&M,3,-0.039999999999999994
Georgia Southern,Louisville,3,-0.28470000000000006
Georgia State,Alabama A&M,3,-0.013333333333333336
Georgia State,Campbell,3,-0.030000000000000002
Georgia Tech,Florida International,3,0.008033333333333335
Georgia Tech,Georgia Southern,4,-0.025099999999999997
Georgia Tech,Georgia State,3,-0.1721666666666667
Georgia Tech,Massachusetts,3,0.1688666666666667
Georgia Tech,North Carolina,3,-0.22835
Georgia Tech,Ole Miss,3,-0.045833333333333316
Georgia Tech,South Alabama,3,0.0
Harvard,Duke,3,-0.2545
Holy Cross,James Madison,6,-0.222475
Houston,Colorado,4,-0.08625000000000001
Houston,East Carolina,4,0.027575000000000002
Houston,Louisville,3,0.0
Houston,Texas State,3,0.2633333333333334
Houston Christian,Western Kentucky,4,-0.524375
Idaho,New Mexico,7,-0.21242857142857144
Illinois,Louisiana Tech,3,-0.01666666666666667
Illinois,San José State,3,0.03003333333333334
Incarnate Word,Texas State,10,-0.0029571428571428388
Indiana,Ball State,3,-0.0228
Indiana,Chattanooga,3,0.0
Indiana,Florida Atlantic,3,-0.2316666666666667
Indiana,Memphis,5,-0.184
Indiana,Miami (OH),6,0.2533
Indiana,Michigan,3,-0.30720000000000003
Indiana,Purdue,3,-0.1675
Indiana,South Alabama,3,0.16666666666666666
Indiana,UAB,3,0.16216666666666668
Indiana,Western Kentucky,3,0.016433333333333338
Iowa,Central Michigan,4,0.090625
Iowa,Charlotte,4,0.2946
Iowa,South Dakota,3,0.020000000000000004
Iowa State,Arizona State,3,0.0
Iowa State,Charlotte,3,-0.02783333333333332
Jackson State,Colorado,9,0.12783333333333335
Jacksonville State,Marshall,3,-0.11813333333333333
Jacksonville State,West Virginia,8,-0.5242142857142857
James Madison,Indiana,13,-0.21084615384615385
Kansas,North Alabama,4,-0.011975000000000012
Kansas,Northern Iowa,3,0.1144
Kansas State,Austin Peay,3,-0.03490000000000001
Kennesaw State,Memphis,3,0.0
Kennesaw State,Oklahoma,3,-0.20073333333333335
Kentucky,Colorado,4,0.032424999999999995
Kentucky,UCF,3,0.08726666666666665
LSU,Auburn,4,-0.05694999999999997
LSU,Ole Miss,4,-0.36382500000000007
LSU,TCU,3,0.014699999999999972
LSU,UTSA,4,-0.021075
Liberty,Colorado,3,-0.21713333333333332
Louisiana,Florida,3,-0.030950000000000005
Louisiana,Houston,4,-0.5236000000000001
Louisiana Tech,Houston,3,-0.22583333333333333
Louisville,App State,3,-0.3047000000000001
Louisville,Cincinnati,6,-0.25251666666666667
Louisville,Georgia State,3,0.15416666666666665
Louisville,Georgia Tech,3,-0.13353333333333336
Louisville,Miami,3,-0.265
Louisville,Syracuse,3,0.0
Louisville,UCLA,3,-0.17875000000000002
Louisville,Virginia,3,0.28750000000000003
Marshall,Akron,3,-0.003333333333333334
Marshall,App State,3,0.0
Marshall,East Carolina,3,0.036666666666666674
Marshall,Florida Atlantic,3,-0.3962666666666667
Marshall,Marshall,8,-0.11791666666666667
Marshall,Southern Miss,19,-0.22894736842105265
Marshall,Texas State,3,-0.14906666666666668
Maryland,Auburn,4,-0.322175
Maryland,East Carolina,3,-0.06666666666666667
Maryland,NC State,3,-0.18276666666666666
Massachusetts,Michigan,3,-0.24516666666666673
Massachusetts,Rhode Island,3,-0.1526
Memphis,Mississippi State,3,0.0
Memphis,Sam Houston,4,0.1578
Memphis,Southern Miss,3,0.2315666666666667
Memphis,TCU,3,-0.43000000000000005
Memphis,Tennessee State,3,-0.07706666666666667
Miami,Georgia,3,-0.23006666666666667
Miami,Louisville,4,-0.08134999999999999
Miami,Missouri,3,-0.12503333333333333
Miami,SMU,11,-0.07816000000000001
Michigan,Charlotte,3,-0.02
Michigan,Florida,3,-0.02
Michigan,Massachusetts,3,0.0
Michigan,Western Michigan,3,0.0
Michigan State,Akron,3,0.2771666666666667
Michigan State,Memphis,3,-0.07500000000000001
Middle Tennessee,Charlotte,4,0.03629999999999989
Middle Tennessee,Tennessee State,3,-0.22000000000000003
Minnesota,Illinois State,3,0.39915
Minnesota,Kansas,4,-0.0523
Minnesota,Ohio,3,0.03776666666666667
Minnesota,Rutgers,4,0.288975
Minnesota,South Florida,4,-0.03772499999999995
Mississippi State,Arkansas State,3,0.0
Mississippi State,Georgia Tech,3,-0.0033000000000000004
Mississippi State,Marshall,3,-0.008333333333333331
Mississippi State,Ole Miss,3,-0.4126666666666667
Mississippi State,South Alabama,8,0.11162000000000001
Mississippi State,Southern Miss,15,0.020000000000000004
Missouri,Arkansas,3,-0.17166666666666666
Missouri,SMU,3,-0.19
Montana,Nebraska,3,0.11346666666666667
Montana State,California,3,0.0
NC State,Marshall,3,-0.002733333333333329
Nebraska,Florida Atlantic,3,-0.33380000000000004
Nebraska,Kansas,3,0.056933333333333315
Nebraska,Kansas State,4,-0.21812500000000004
Nebraska,Kentucky,3,-0.19276666666666667
Nebraska,South Dakota State,4,0.04744999999999999
Nebraska,Western Kentucky,3,0.02666666666666666
Nevada,Colorado State,8,-0.003185714285714288
Nevada,Memphis,3,-0.5745666666666667
Nevada,Sacramento State,3,-0.22406666666666666
Nevada,San José State,3,-0.2248333333333333
New Mexico,UL Monroe,7,-0.31086666666666674
New Mexico,UTEP,3,-0.22666666666666668
New Mexico,UTSA,3,-0.12999999999999998
New Mexico,Utah State,5,-0.3785
New Mexico State,Arizona State,3,0.05666666666666672
New Mexico State,Syracuse,3,-0.06000000000000002
New Mexico State,Utah State,3,-0.3408333333333333
New Mexico State,Vanderbilt,5,0.08224
New Mexico State,Washington State,3,-0.25500000000000006
North Carolina,Charlotte,6,0.06966666666666665
North Carolina,Coastal Carolina,3,0.5779500000000001
North Carolina,East Carolina,8,0.0977625
North Carolina,Georgia Southern,4,0.23666666666666666
North Carolina,Indiana,3,0.016333333333333328
North Carolina,Liberty,4,0.014766666666666671
North Carolina,Ohio State,3,-0.22666666666666668
North Carolina,West Virginia,3,-0.11946666666666667
North Texas,Abilene Christian,7,-0.05005714285714286
North Texas,North Texas,3,-0.7683333333333332
North Texas,Sam Houston,3,-0.14373333333333335
North Texas,UCLA,3,-0.07250000000000001
Northern Illinois,Mississippi State,3,-0.3259
Northwestern,Arizona,3,0.13976666666666668
