school,pagerank,dev_score,dev_score_norm,portal_index
Ole Miss,1.0,0.6200845822906327,0.8153547752581426,0.8707483426806997
Oregon,0.5433167097740477,0.6677671233870222,0.9020535046189889,0.7944324661655066
TCU,0.8971178102327937,0.5745449509711062,0.7325523893076317,0.7819220155851803
Texas,0.33267140007528295,0.7024766395196876,0.9651640452117963,0.7754162516708423
Miami,0.5827105107514463,0.6301673129407085,0.8336876894810262,0.7583945358621522
Cincinnati,0.46852479580500306,0.6437909561229214,0.8584588641291166,0.7414786436318825
Arkansas,0.34608117875816385,0.6640620565824278,0.8953167708634193,0.7305460932318426
Temple,0.08516759386887446,0.721635707456047,1.0,0.7255502781606623
Boston College,0.12891457269692214,0.7032054723854724,0.9664892447906573,0.7152168431625368
East Carolina,0.3241191418012889,0.6403915828154616,0.8522779572478294,0.6938303126138672
Indiana,0.29618722792307084,0.6411692447417439,0.8536919402137264,0.6864405265265296
West Virginia,0.1948737026360051,0.6483877842011616,0.8668170418669191,0.6652340400976449
Syracuse,0.330274601496262,0.6156197754981013,0.8072366450819081,0.6641480320062142
South Carolina,0.3621176702003209,0.592294947686408,0.7648263018548885,0.6440137123585181
Georgia Tech,0.3388703638415413,0.5865817814707134,0.754438343492377,0.6297679495971263
USC,0.3261735374351428,0.5891282501758865,0.7590684574925806,0.6291999814753492
Texas State,0.47678255627606964,0.5520961616652855,0.6917349021571537,0.6272491983928284
Alabama,0.2091314126773524,0.607013194202098,0.7915877378435978,0.6168508402937242
UCF,0.5099481755864912,0.5349690974100154,0.6605936358892383,0.6153999977984141
UConn,0.17048557341920126,0.6139548471483127,0.804209390890238,0.614092245648927
Michigan State,0.5637505848689963,0.5149640992696926,0.6242195694122439,0.6060788740492695
Louisville,0.5099566324374193,0.5269205119504343,0.6459593039838293,0.6051585025199062
Tulane,0.15979449344224192,0.6057952063421667,0.7893731327196906,0.600499540936456
Washington,0.3266426794339023,0.562397737666442,0.7104657317056251,0.5953188160241082
Wisconsin,0.44422391446593545,0.5341995821576051,0.6591944656043974,0.5947033002628588
South Florida,0.18392884638347112,0.5940665507261089,0.7680475171874227,0.5928119159462372
Duke,0.12928589916362293,0.6026587794065235,0.7836703277977861,0.5873549992075371
James Madison,0.2161177684237948,0.5782514799536183,0.7392917816666364,0.5823395776937839
Western Kentucky,0.32382465674828886,0.5518314065972991,0.691253511537894,0.5810248551010124
SMU,0.30206180923225445,0.5512549414166559,0.6902053543396124,0.5737622908074049
Arizona State,0.4316735565942289,0.5180150966511567,0.6297670421386133,0.570338996475298
Missouri,0.18965722314066524,0.5733866188172156,0.7304462531074422,0.5682095441174091
UNLV,0.14412571901878568,0.582302478261308,0.7466575050077994,0.5658979692110953
Baylor,0.415021650696433,0.5122695029426221,0.6193201225219207,0.5580305809742744
Southern Miss,0.13627714935325805,0.5711179770017063,0.7263212975522854,0.5493080530925771
Minnesota,0.0626009001299862,0.5860884453479837,0.7535413356147554,0.5462592049693247
California,0.1856901581837463,0.5557283987130195,0.6983392132851899,0.5445444967547568
