school,pagerank,dev_score,dev_score_norm,portal_index
LSU,1.0,0.0,,
Ole Miss,0.9530132127621619,0.0,,
Oklahoma State,0.8424735478366381,0.0,,
Wisconsin,0.7204346519683341,0.0,,
Colorado,0.6540927957794729,0.0,,
Ohio State,0.6355073154946759,0.0,,
Texas Tech,0.6174695143895965,0.0,,
Arizona State,0.5962492907201882,0.0,,
Indiana,0.500333867463988,0.0,,
Kansas State,0.49679101225515426,0.0,,
South Carolina,0.4870118103620559,0.0,,
Arkansas,0.44691042573110745,0.0,,
Baylor,0.4402953595031785,0.0,,
Louisville,0.4383353589846263,0.0,,
Alabama,0.42946385042325985,0.0,,
Virginia,0.4249158186896267,0.0,,
Kentucky,0.4246626544770139,0.0,,
South Florida,0.4221257244455468,0.0,,
Tennessee,0.3830043177019788,0.0,,
Auburn,0.37216134279326646,0.0,,
Georgia Tech,0.36788701148746744,0.0,,
Texas A&M,0.3672596101606808,0.0,,
Mississippi State,0.3620081898176032,0.0,,
West Virginia,0.35739844824461825,0.0,,
Florida State,0.35319107579634684,0.0,,
UCLA,0.3290374676302208,0.0,,
Texas,0.32172523564773103,0.0,,
Florida,0.30768332683587135,0.0,,
Washington State,0.29815180361150834,0.0,,
Kansas,0.2940049896161928,0.0,,
Michigan,0.29202805564773693,0.0,,
California,0.2914332604951025,0.0,,
North Texas,0.2891513108066846,0.0,,
Penn State,0.28745933626464565,0.0,,
Iowa State,0.2827317399185909,0.0,,
SMU,0.2780484347089352,0.0,,
Syracuse,0.27670612704886394,0.0,,
Houston,0.2724290109685752,0.0,,
Michigan State,0.2597194199759559,0.0,,
Miami,0.2586105709739728,0.0,,
Purdue,0.23769355505689227,0.0,,
Missouri,0.23608068094932888,0.0,,
Oklahoma,0.2240592604005615,0.0,,
UCF,0.2228801471576224,0.0,,
UAB,0.22138807250806702,0.0,,
UConn,0.22064524738186453,0.0,,
Memphis,0.2161151889964176,0.0,,
NC State,0.21553304449000382,0.0,,
Utah,0.20366446602081917,0.0,,
Vanderbilt,0.20066021367846587,0.0,,
Colorado State,0.1973737433644838,0.0,,
Tulsa,0.19669630560925241,0.0,,
Virginia Tech,0.1927152660629802,0.0,,
Arizona,0.18891720660073813,0.0,,
Duke,0.182172762613552,0.0,,
Illinois,0.17738821754838174,0.0,,
Florida Atlantic,0.1722896724865824,0.0,,
Tulane,0.17061957022789886,0.0,,
Boston College,0.16935970421770413,0.0,,
Massachusetts,0.1680192339927549,0.0,,
North Carolina,0.16751983759372008,0.0,,
Wake Forest,0.16357364841678693,0.0,,
Washington,0.16159726744942485,0.0,,
Coastal Carolina,0.1598985015966075,0.0,,
Cincinnati,0.15819553172623668,0.0,,
Utah State,0.15807761983583093,0.0,,
TCU,0.15575901939651068,0.0,,
Oregon,0.15365148946799057,0.0,,
UTEP,0.14502012110840443,0.0,,
East Carolina,0.13920592256039568,0.0,,
UNLV,0.13725375097567535,0.0,,
Clemson,0.13410986425960658,0.0,,
Kennesaw State,0.13088951529060497,0.0,,
Rutgers,0.12961217750243226,0.0,,
Northwestern,0.12256190303697873,0.0,,
James Madison,0.1224662986844655,0.0,,
Nebraska,0.11711011547514485,0.0,,
App State,0.11466612352613446,0.0,,
UTSA,0.11199207313591575,0.0,,
Toledo,0.11197983513225497,0.0,,
Miami (OH),0.10812413389146931,0.0,,
Rice,0.10294479401067205,0.0,,
Iowa,0.10140217742843224,0.0,,
Arkansas State,0.09266412509499523,0.0,,
New Mexico State,0.09119732471105221,0.0,,
Pittsburgh,0.08636622062602695,0.0,,
Texas State,0.08504071700945245,0.0,,
Southern Miss,0.08495656529430817,0.0,,
Temple,0.08375665755770743,0.0,,
Georgia Southern,0.07576231438624999,0.0,,
Maryland,0.0725279344448365,0.0,,
Liberty,0.07130672322751996,0.0,,
Minnesota,0.06940545427632692,0.0,,
New Mexico,0.0650190132583805,0.0,,
Georgia State,0.06262236864941138,0.0,,
Bowling Green,0.06040444087911069,0.0,,
Wyoming,0.05711833086120593,0.0,,
Nevada,0.05457410295712682,0.0,,
Louisiana Tech,0.05430982744895217,0.0,,
Florida International,0.053157269810087115,0.0,,
San José State,0.048021259512522035,0.0,,
Oregon State,0.04090674521457975,0.0,,
San Diego State,0.040124674115301205,0.0,,
Hawai'i,0.039227112806008484,0.0,,
Marshall,0.03879807618421293,0.0,,
Ball State,0.03292955417034484,0.0,,
Jacksonville State,0.03243809665362522,0.0,,
UL Monroe,0.03236064737856627,0.0,,
Charlotte,0.03192320524534562,0.0,,
Ohio,0.03185587120989438,0.0,,
Troy,0.03136525172246919,0.0,,
Missouri State,0.030987199995701875,0.0,,
Fresno State,0.027622928795265515,0.0,,
Western Kentucky,0.024843167659595506,0.0,,
Kent State,0.023517666104778144,0.0,,
Western Michigan,0.018666359956840278,0.0,,
Sam Houston,0.017742085571436503,0.0,,
Akron,0.01644689667585196,0.0,,
Middle Tennessee,0.01108864691840829,0.0,,
Buffalo,0.007688757373076131,0.0,,
Delaware,0.006285135004631182,0.0,,
