rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,Delaware,0.124047,-0.051906,0,0.75
2,Sam Houston,0.115249,-0.0195025,0,0.625
3,Western Michigan,0.114414,-0.0257183,0,0.636364
4,Temple,0.0662732,-0.167454,0,0.75
5,Fresno State,0.0600174,-0.102187,0,0.555556
6,UL Monroe,0.0256231,-0.0664008,0,0.294118
7,Hawai'i,0.0232779,-0.124873,0,0.428571
8,Missouri State,0.0195672,-0.160866,0,0.5
9,Eastern Michigan,-0.00228042,-0.00456083,0,0
10,Utah State,-0.00999765,-0.227995,0,0.52
11,Ohio,-0.0129667,-0.0830762,0,0.142857
12,Ball State,-0.017544,-0.122044,0,0.217391
13,Marshall,-0.0186641,-0.0646451,0.00209077,0.0714286
14,Akron,-0.0345448,-0.0480369,0,-0.0526316
15,Middle Tennessee,-0.0354629,0.00907427,0,-0.2
16,Charlotte,-0.0365353,-0.0730706,0,0
17,New Mexico,-0.0502249,-0.271878,0,0.428571
18,Jacksonville State,-0.0536148,-0.0500868,0,-0.142857
19,Kent State,-0.0666028,-0.040898,0,-0.230769
20,Rice,-0.0677131,-0.244517,0,0.272727
21,San José State,-0.0784952,-0.133461,0,-0.0588235
22,Georgia Southern,-0.082473,-0.264946,0,0.25
23,Texas State,-0.0894035,-0.197855,0,0.047619
24,Southern Miss,-0.0917368,-0.155567,0,-0.0697674
25,California,-0.0982707,-0.253684,0,0.142857
26,UAB,-0.0983822,-0.31105,0,0.285714
27,Kennesaw State,-0.104877,-0.289755,0,0.2
28,UTSA,-0.106276,-0.212553,0,0
29,Tulane,-0.106899,-0.201676,0,-0.030303
30,Louisiana Tech,-0.109326,-0.0368333,0,-0.454545
31,Troy,-0.111545,-0.22309,0,0
32,Massachusetts,-0.112636,-0.248801,0,0.0588235
33,UNLV,-0.112913,-0.251148,0.0244653,0.1
34,Nevada,-0.114807,-0.229614,0,0
35,East Carolina,-0.115383,-0.30484,0,0.185185
36,Wake Forest,-0.116446,-0.261462,0,0.0714286
37,Liberty,-0.118049,-0.300254,0.00418275,0.166667
38,New Mexico State,-0.11926,-0.216551,0.00486909,-0.047619
39,Old Dominion,-0.122165,-0.124329,0,-0.3
40,Oregon State,-0.122488,-0.018533,0.000594028,-0.565217
41,App State,-0.126468,-0.229691,0.00540893,-0.05
42,Georgia State,-0.127171,-0.0361595,0,-0.545455
43,Arkansas State,-0.131812,-0.311624,0,0.12
44,NC State,-0.132629,-0.274118,0.00822308,0.0344828
