rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,Virginia,0.925712,1.79001,0.119872,0.333333
2,Liberty,0.846264,1.29253,0,1
3,Baylor,0.684683,1.52956,0.0447617,-0.333333
4,BYU,0.593165,0.78633,0,1
5,Akron,0.575633,0.951266,0,0.5
6,UAB,0.55697,0.928233,0.134933,0.666667
7,Wake Forest,0.553284,1.38839,0.409092,-0.0909091
8,Southern Miss,0.496301,0.964334,0.17511,0.333333
9,Ole Miss,0.440314,1.53517,0.824244,-0.4
10,Toledo,0.434054,0.468108,0,1
11,Texas State,0.423,0.446001,0,1
12,NC State,0.422088,1.08129,0.172973,-0.333333
13,Florida State,0.421002,1.03903,0.293282,-0.0526316
14,Virginia Tech,0.356473,1.13958,0.659769,-0.0769231
15,UTSA,0.324702,0.249405,0,1
16,Louisiana Tech,0.322038,0.244076,0,1
17,Georgia State,0.311719,1.07502,0.619295,-0.2
18,South Alabama,0.302654,0.350525,0.0753616,0.75
19,Coastal Carolina,0.290378,0.180755,0,1
20,App State,0.254432,0.242196,0,0.666667
21,Kansas State,0.253216,0.692448,0.161878,-0.222222
22,Florida Atlantic,0.252873,0.105745,0,1
23,Pittsburgh,0.246063,0.092126,0,1
24,Louisiana,0.23842,0.0768404,0,1
25,Boston College,0.234858,0.306764,0.0617478,0.5
26,Kansas,0.231452,0.735247,0.308977,-0.217391
27,Fresno State,0.230944,0.394929,0.0550686,0.25
28,Bowling Green,0.230912,0.55695,0.232617,0.111111
29,Houston,0.2286,0.146089,0,0.777778
30,Western Kentucky,0.224075,0.311745,0.234198,0.692308
31,UNLV,0.217376,0.364778,0.169089,0.428571
32,South Florida,0.212009,0.242435,0.0563377,0.538462
33,Missouri,0.207186,0.953132,0.586822,-0.466667
34,Ohio State,0.20715,0.999956,0.64276,-0.5
35,San José State,0.203205,0.0952986,0,0.777778
36,Ball State,0.2,0,0,1
37,Arkansas State,0.18812,0.353397,0.43812,0.714286
38,Colorado,0.185892,0.550897,0.116705,-0.272727
39,Nevada,0.184083,0.101499,0,0.666667
40,Middle Tennessee,0.183104,-0.0337919,0,1
41,Utah,0.182522,0.526859,0.18636,-0.125
42,Penn State,0.174899,0.642432,0.2655,-0.333333
43,Kent State,0.171039,0.165994,0.206526,0.75
44,Hawai'i,0.170309,0.294893,0.209505,0.428571
45,Texas,0.158392,0.79936,0.637626,-0.25
46,Auburn,0.154647,0.49003,0.195963,-0.157895
47,Massachusetts,0.15164,0.41784,0.242214,0.0769231
48,Illinois,0.148811,0.278401,0.0632032,0.142857
49,Indiana,0.141694,0.300149,0.139047,0.166667
50,San Diego State,0.140859,0.281717,0,0
51,Oklahoma State,0.132369,0.370128,0.508981,0.5
52,Mississippi State,0.125412,0.41377,0.166312,-0.157895
53,Boise State,0.124734,0.0109274,0.00243266,0.6
54,SMU,0.120562,0.458934,0.918572,0.833333
55,Miami,0.115283,0.492203,0.269394,-0.25
56,Purdue,0.105748,0.231112,0.143804,0.166667
57,Northwestern,0.104392,0.87214,1.04499,-0.0909091
58,UCLA,0.0975835,0.720657,1.17885,0.454545
59,Utah State,0.0959661,0.349908,0.314575,0.0769231
60,Alabama,0.0895687,0.696246,0.605437,-0.384615
61,Texas Tech,0.0884951,0.438343,0.470676,0.0526316
62,UCF,0.0791115,0.265892,0.214536,0.0526316
63,Eastern Michigan,0.0678371,0.133657,0.129971,0.2
64,Miami (OH),0.063848,0.261029,0,-0.333333
65,Buffalo,0.0631936,0.656715,0.661658,-0.333333
66,Troy,0.0608465,0.303536,0.48489,0.272727
67,East Carolina,0.0599529,0.0462059,0.0105,0.2
68,Rutgers,0.0587877,0.178748,0.101954,0
69,Kentucky,0.0576521,0.199748,0.140739,0
70,Central Michigan,0.0567973,-0.0197387,0,0.333333
71,UTEP,0.0526424,0.208983,0.395053,0.333333
72,Charlotte,0.0460075,0.390313,0.897163,0.6
73,Tulane,0.0426677,0.113401,0.33249,0.428571
74,Sam Houston,0.0409673,-0.0513988,0,0.333333
75,Kennesaw State,0.0395495,-0.0542344,0,0.333333
76,Western Michigan,0.0315,0.063,0,0
77,Tulsa,0.0248648,0.071327,0.0359955,0
78,North Texas,0.0218411,0.282414,0.508997,0.166667
79,Georgia Southern,0.0128463,0.150108,0.207359,0
80,Michigan State,-0.00126546,0.18873,0.318769,0
81,Temple,-0.00158779,0.510696,0.824706,-0.047619
82,Washington,-0.00380327,0.448768,0.578806,-0.272727
83,Oklahoma,-0.0246008,0.332652,0.477692,-0.238095
84,James Madison,-0.0269453,0,0.31204,0.333333
85,Jacksonville State,-0.0311497,0.0203513,0.582195,0.666667
86,Georgia Tech,-0.0342469,0.446399,0.953392,0.142857
87,USC,-0.0418003,0.153893,0.479156,0.125
88,Duke,-0.0432741,0.0630177,0.0270541,-0.333333
89,Oregon State,-0.0489398,0.163813,0.325044,-0.166667
90,North Carolina,-0.0528016,0.571023,0.544377,-0.875
91,Cincinnati,-0.0633036,0.2244,0.585012,0
92,LSU,-0.0663993,0.666641,0.908156,-0.636364
93,Arkansas,-0.0818839,0.114158,0.196543,-0.4
94,Syracuse,-0.0868995,-0.0107148,0.049585,-0.333333
95,Florida,-0.0876689,0.328091,0.899654,0.0909091
96,Arizona,-0.0878657,0.373778,1.09129,0.263158
97,Old Dominion,-0.105492,0.560334,1.50775,0.333333
98,Marshall,-0.107751,0.010333,0.194573,-0.272727
99,Nebraska,-0.10851,0.153467,0.258503,-0.538462
100,Arizona State,-0.111989,0.0375862,0.569274,0.2
101,Tennessee,-0.113695,0.248583,0.530663,-0.393939
102,Wisconsin,-0.145047,0.0892956,0.298981,-0.5
103,Northern Illinois,-0.147144,0.221261,0.637026,-0.333333
104,Colorado State,-0.151631,-0.167601,0.359434,0.2
105,Minnesota,-0.159137,0.337001,1.09213,0
106,Washington State,-0.161184,0.072102,0.606168,-0.0769231
107,UL Monroe,-0.162379,0.264835,1.16447,0.272727
108,Louisville,-0.186032,0.0144454,0.462364,-0.272727
109,Memphis,-0.186892,0.0524555,0.761681,0.0769231
110,Stanford,-0.2,0,0,-1
111,Navy,-0.2,0,0,-1
112,UConn,-0.202599,0.105532,0.628994,-0.333333
113,Notre Dame,-0.209916,0.222356,0.524859,-0.818182
114,New Mexico State,-0.21173,0,0.0391,-1
115,West Virginia,-0.21282,0.0965581,0.336995,-0.8
116,Iowa State,-0.226208,0,0.0873605,-1
117,Oregon,-0.242823,0,0.142742,-1
118,TCU,-0.252978,-0.332177,0.135785,-0.230769
119,Vanderbilt,-0.259066,0.239534,1.00637,-0.384615
120,Delaware,-0.311694,0,0.372312,-1
121,Texas A&M,-0.335396,0,0.451321,-1
122,Maryland,-0.350299,0.260813,1.10235,-0.75
123,New Mexico,-0.357131,-0.0083531,1.17651,0
124,California,-0.384377,-0.488897,0.466429,0
125,Clemson,-0.409736,0,0.699121,-1
126,South Carolina,-0.440565,-0.434526,0.649102,-0.142857
127,Rice,-0.513178,-0.0249939,1.66894,0
128,Michigan,-0.560061,-0.285193,1.0106,-0.571429
129,Iowa,-0.570852,0,1.23617,-1
130,Missouri State,-0.587384,-0.327786,1.74497,0.5
131,Georgia,-0.642385,-0.682562,0.587013,-0.625
