rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,UTEP,1.76414,3.52828,0,0
2,Charlotte,0.874562,1.54912,0,0.5
3,Ball State,0.620787,1.10824,0,0.333333
4,Miami (OH),0.527983,1.04926,0.0999304,0.166667
5,Bowling Green,0.472389,0.544779,0,1
6,Arkansas,0.46966,1.33323,0.621432,-0.0526316
7,Southern Miss,0.433558,0.70933,0.161265,0.636364
8,UTSA,0.419145,0.438289,0,1
9,Marshall,0.409588,0.508066,0,0.777778
10,South Alabama,0.408566,0.417132,0,1
11,Utah State,0.392292,0.675494,0,0.272727
12,San Diego State,0.386907,0.373815,0,1
13,Massachusetts,0.377421,0.50366,0.0127344,0.647059
14,Northern Illinois,0.34174,0.506337,0.0380952,0.5
15,App State,0.335262,0.448302,0,0.555556
16,Eastern Michigan,0.33516,0.620363,0.0119764,0.142857
17,Georgia Southern,0.316614,0.411006,0,0.555556
18,Vanderbilt,0.303,0.881396,0.147881,-0.466667
19,Florida Atlantic,0.297835,0.386012,0.0950141,0.666667
20,Kent State,0.293526,0.187051,0,1
21,Tulane,0.285288,0.519374,0.200378,0.428571
22,Buffalo,0.284798,0.425701,0.0346836,0.411765
23,Old Dominion,0.279693,0.479386,0,0.2
24,New Mexico State,0.266438,0.497285,0.0359192,0.142857
25,Akron,0.26285,0.28797,0.0204479,0.625
26,South Florida,0.250498,0.448024,0.311712,0.6
27,Rice,0.235073,0.432336,0.0703147,0.2
28,UL Monroe,0.225939,0.676828,0.470156,0.142857
29,Texas,0.21295,0.644337,0.141841,-0.333333
30,SMU,0.211517,0.263367,0.150556,0.625
31,USC,0.200902,0.577269,0.349586,0.0857143
32,Virginia Tech,0.199075,0.480214,0.025662,-0.166667
33,Arizona,0.193332,0.506872,0.161132,-0.0588235
34,Western Kentucky,0.191293,0.200767,0,0.454545
35,Jacksonville State,0.190289,0.113911,0,0.666667
36,UAB,0.187023,0.716284,0.437064,-0.2
37,UNLV,0.186374,0.106082,0,0.666667
38,San José State,0.184824,0.198219,0,0.428571
39,Texas State,0.182134,0.0873454,0,0.692308
40,Iowa State,0.16963,1.12483,1.05288,-0.384615
41,Coastal Carolina,0.167559,0.255117,0,0.2
42,Middle Tennessee,0.166625,0.0221388,0,0.777778
43,Missouri,0.154473,0.478475,0.282549,0
44,Western Michigan,0.152334,0.206436,0.0585023,0.333333
45,Arkansas State,0.151778,0.656418,0.671437,0.125
46,Temple,0.149647,0.269644,0.0616923,0.166667
47,Colorado State,0.149025,0.238747,0.0829799,0.272727
48,Cincinnati,0.148334,0.317892,0.0959803,0.0909091
49,Florida International,0.142087,0.115347,0.237141,0.777778
50,Toledo,0.141151,0.335766,0.270926,0.272727
51,Liberty,0.141039,0.35536,0.303956,0.272727
52,Wisconsin,0.136138,0.448738,0.516324,0.333333
53,Tulsa,0.136006,0.138679,0,0.333333
54,Hawai'i,0.133447,0.311823,0.106628,0.047619
55,Syracuse,0.131705,0.5214,0.281834,-0.222222
56,Texas Tech,0.125221,0.145011,0.157614,0.5
57,Pittsburgh,0.09945,0.286138,0.0501585,-0.142857
58,Sam Houston,0.0962223,-0.0932697,0,0.714286
59,New Mexico,0.0863374,-0.0939919,0,0.666667
60,East Carolina,0.0814236,0.14481,0.160414,0.285714
61,Louisiana Tech,0.0747106,0.33696,0.494383,0.272727
62,Ohio,0.0688479,-0.0623042,0,0.5
63,Nevada,0.067338,0.24342,0.18124,0
64,UCF,0.0516436,0.215076,0.151227,-0.0526316
65,Wyoming,0.0426276,0.59954,0.523808,-0.5
66,California,0.0363443,0.387102,0.449949,-0.111111
67,Indiana,0.0315548,0.343097,0.392572,-0.111111
68,Miami,0.0286457,0.27498,0.296148,-0.1
69,Northwestern,0.0225656,0.0923101,0.152706,0.111111
70,Memphis,0.0172385,0.0788043,0.169117,0.142857
71,Duke,0.00639395,0.443479,0.1993,-0.777778
72,Missouri State,-0.00123084,0.0375523,0.288912,0.333333
73,UCLA,-0.00355686,0.239955,0.225114,-0.28
74,Mississippi State,-0.0132799,0.143901,0.0812019,-0.304348
75,Boise State,-0.0133423,-0.0266845,0,0
76,Troy,-0.0155047,0,0.0516825,0
77,Louisville,-0.0198982,-0.0135869,0.0754286,0.047619
78,Florida,-0.0431147,0.205435,0.263885,-0.333333
79,Houston,-0.0452268,0.360817,1.05515,0.454545
80,Oklahoma State,-0.0606567,0.0841673,0.0091344,-0.5
81,BYU,-0.061882,-0.0266837,0.295134,0.2
82,Oregon,-0.0634883,0.0335061,0.267471,0
83,West Virginia,-0.0652703,0.144228,0.255049,-0.304348
84,Purdue,-0.067077,0.0781019,0.35376,0
85,Georgia Tech,-0.0694422,0.0419338,0.38832,0.130435
86,Tennessee,-0.0762407,0.0427208,0.376619,0.0769231
87,NC State,-0.0799486,-0.0668012,0.0218267,-0.2
88,Ole Miss,-0.107568,0.300492,0.880885,0.0322581
89,TCU,-0.108304,0.154058,0.617777,0
90,Maryland,-0.126337,0.00906388,0.214006,-0.333333
91,South Carolina,-0.138475,-0.0903389,0.406257,0.142857
92,Nebraska,-0.143182,-0.0726093,0.295651,-0.0909091
93,North Texas,-0.149028,-0.0584174,0.566065,0.25
94,Oregon State,-0.150612,0,0.279818,-0.333333
95,Central Michigan,-0.167341,-0.0226055,0.186794,-0.5
96,Arizona State,-0.167912,0.0150001,0.479443,-0.157895
97,LSU,-0.174203,0.00909684,0.595837,0
98,Colorado,-0.177963,-0.010391,0.194941,-0.571429
99,Kansas,-0.191592,-0.372236,0.329356,0.466667
100,Army,-0.2,0,0,-1
