school,pagerank,dev_score,dev_score_norm,portal_index
Texas Tech,1.0,0.6874373051533401,1.0,1.0
LSU,0.938764173603866,0.6080098577111845,0.8844586308500694,0.9007502936762084
Ole Miss,0.7726869310943518,0.6389224076415969,0.929426440566938,0.8824045877251622
Virginia,0.6158514993878292,0.6728491919926571,0.9787789911147913,0.8699007435967026
Miami,0.8323714812358302,0.6004337076076512,0.8734377711342247,0.8611178841647062
Indiana,0.6152784626301557,0.6486572166884265,0.9435874541951672,0.8450947567256637
Kansas,0.6088376285925523,0.6241221627474711,0.9078968482925932,0.8181790823825809
Mississippi State,0.7325443458530726,0.5807542629664454,0.8448105137920935,0.8111306634103872
UCF,0.6972170022034021,0.587098685899027,0.8540396069545113,0.8069928255291785
Rutgers,0.459110599229045,0.653216080609425,0.9502191337488126,0.8028865733928823
Houston,0.5367147334211911,0.6278233152249096,0.9132808337843508,0.8003110036754029
Arkansas,0.8432307007228688,0.5319200053385577,0.7737723881887779,0.7946098819490051
Wake Forest,0.4926401143518451,0.6227059836568122,0.9058367635691681,0.7818777688039712
UNLV,0.4762970032911585,0.6169552611393616,0.8974713134047086,0.7711190203706435
California,0.8211038218155849,0.5119244594844533,0.7446853053316086,0.7676108602768015
Michigan State,0.6862076205110886,0.5383642623927692,0.7831467078625903,0.7540649816571398
Texas,0.44469587564806967,0.6021601557313527,0.8759491974283161,0.7465732008942422
SMU,0.6517908199767952,0.5299480332475051,0.7709038035538304,0.7351699084807198
Western Kentucky,0.4120179833996191,0.5992741126938722,0.8717509337963523,0.7338310486773323
Nebraska,0.4847001880643519,0.5774023674322489,0.8399345847305352,0.7333642657306801
Missouri,0.6027964781749331,0.5352014113845326,0.778545777734815,0.7258209878668505
Florida State,0.6700361456754406,0.5017759751826802,0.7299225273652465,0.7119566128583048
Maryland,0.38223266691143154,0.5837325954131246,0.8491430288074299,0.7090699202386302
Texas A&M,0.6209660151269174,0.5122241106536051,0.7451212013280951,0.7078746454677417
Oklahoma,0.5876696698845212,0.5219510358074786,0.7592707464298172,0.7077904234662283
UCLA,0.7297062995640912,0.47859263241532657,0.6961982261183388,0.7062506481520645
Cincinnati,0.29328835606170883,0.603615675799045,0.8780665106098688,0.7026330642454207
South Florida,0.37486999305661,0.5693143975566262,0.8281691919958207,0.6921794323140575
Colorado State,0.36818304607918917,0.5671069765052397,0.8249581049121861,0.6879255872622869
Washington,0.6751990352521241,0.47393420756137333,0.6894217174548846,0.6851549127940564
Georgia Tech,0.5290779593502323,0.5159322590955976,0.7505153636963497,0.6840841423925145
Syracuse,0.3081703782018823,0.5800543334125686,0.8437923415913272,0.6831057525744937
Louisville,0.4656079370672792,0.5197496738914781,0.7560684734377958,0.6689303125266407
West Virginia,0.6093120274551497,0.47698721663149324,0.6938628629196901,0.6684976122803279
Oklahoma State,0.8646910597558596,0.4007703839697158,0.5829919048113337,0.6675016512946914
Charlotte,0.17424537900901826,0.6028799576155733,0.8769962774730339,0.6661710079338291
Fresno State,0.10878792568829138,0.6209111060262114,0.9032257943692925,0.6648944337649921
UAB,0.35963210466329987,0.5436376653688039,0.7908178117385407,0.6614620996159685
USC,0.4945938186635619,0.5022448482618007,0.7306045867699451,0.6598013563380302
Auburn,0.8045285168198647,0.4104149478547473,0.597021640778136,0.6592737035906546
Virginia Tech,0.5865255245302669,0.4713147967260009,0.6856113178508245,0.6558855798546572
Kennesaw State,0.1441937754865085,0.6005169638403858,0.8735588821535284,0.6547493501534224
Jacksonville State,0.23024145453396688,0.571340993030239,0.8311172360696883,0.650854501608972
Arizona,0.36615287381356054,0.5303892735938421,0.7715456662270216,0.6499278285029833
North Carolina,0.9124699812011663,0.3674100581568295,0.5344633690993461,0.6478653527298921
James Madison,0.2563227738695008,0.549216581563448,0.798933339006005,0.6361501694650536
UConn,0.3549172715047529,0.5179016474892938,0.7533801898833092,0.6338413143697423
NC State,0.27077972911017717,0.5425872413731732,0.7892897829455784,0.633736766794958
Baylor,0.6014875529755898,0.4445159035257515,0.6466275545325512,0.6330855540654627
BYU,0.16740968682173374,0.5714109258733931,0.8312189658458148,0.6320761821385904
Memphis,0.5598243979963907,0.4553941494130648,0.6624519007031257,0.6316636498911051
Utah,0.3318398056396465,0.5183520182105751,0.7540353343130705,0.6273766757110433
Georgia Southern,0.21957061040764717,0.5479758532713086,0.7971284787186184,0.623861118225327
Purdue,0.6418395309781539,0.41791480473262527,0.6079315184086569,0.6181039221795059
Kentucky,0.47201240475032025,0.46678006640864267,0.6790147449221169,0.6169140428705778
Washington State,0.1648992256529666,0.5494232441902372,0.7992339666054094,0.6089335443196765
Hawai'i,0.029581292242106125,0.5815492475921755,0.8459669605251563,0.6010512600402412
Colorado,0.5355539519856494,0.43093476273672765,0.626871366314057,0.5994761420155347
Florida Atlantic,0.3878228582644038,0.4743115086528579,0.689970569093654,0.5993262558448789
Tulsa,0.2057180449751246,0.5250121050601408,0.763723616865732,0.5963219452985498
Boise State,0.11564677369520529,0.5458857081575832,0.7940879903743624,0.5905556253706152
Northwestern,0.19213923801220892,0.5233081040907015,0.7612448439555839,0.5905131621725713
Tulane,0.45106318254418615,0.44564493143546496,0.6482699267187124,0.5891079034663544
Miami (OH),0.3155705474409758,0.48447958913140016,0.7047618531894074,0.588004461464878
Pittsburgh,0.2001105633140976,0.5159208248492525,0.7504987305484839,0.585382280378168
Liberty,0.07292258278782845,0.5489435740049853,0.7985362008867669,0.5808521154570854
North Texas,0.11850675084288212,0.5350246407605825,0.7782886333776134,0.580354068617194
New Mexico,0.17279136372430512,0.514353400666539,0.748218632900359,0.5755904521475428
Utah State,0.18345894687670408,0.508846413461065,0.7402077391589352,0.5731831014742659
UTEP,0.07246910264661777,0.5387380215109062,0.7836904070702637,0.5703240157431698
South Carolina,0.20221032372625775,0.49912680103472906,0.7260688317218885,0.5689112793231993
Western Michigan,0.126089409208018,0.5147940582809998,0.7488596478862455,0.5620285762827772
Minnesota,0.6655009366817697,0.35570758083858717,0.5174400315083902,0.5618583030604041
App State,0.26870707628629187,0.4704681326034711,0.6843796940850165,0.5596779087453991
Sam Houston,0.10053461568072178,0.5197324877309399,0.7560434731062612,0.5593908158785994
Texas State,0.27071451545460334,0.46841615929493713,0.6813947334302027,0.5581906680375229
San Diego State,0.06187178600897787,0.527308786041738,0.7670645484159697,0.5555067196938721
Missouri State,0.007448732097675257,0.5430755757776012,0.7900001523141991,0.5552347262492419
Wisconsin,0.475575453652146,0.40347809926160183,0.5869307589753248,0.5535241673783711
Illinois,0.2615091881093495,0.46505058212677275,0.6764989019951985,0.5520019878294438
Georgia State,0.15824889163982156,0.48816620816696277,0.710124697201401,0.5445619555329272
East Carolina,0.13855376833690775,0.4924911033866974,0.716416027606826,0.5430573498258504
Ball State,0.10421662398173857,0.5023952712433412,0.7308234037884759,0.5428413698464546
Vanderbilt,0.06610891489546179,0.5093979000204485,0.741009974584987,0.5385396566781294
Akron,0.02129175097079713,0.5208448284044487,0.7576615707351942,0.536750624805875
Toledo,0.16901246738127879,0.4762195555021046,0.6927461630786517,0.5356260543694398
